urn,la_code,la_code_new,stat_neighbours,stat_neighbours_la_code,stat_neighbours_previous,local_authority_ons_name,also_known_as,region_code,region_name,domain,ofsted_ilacs_scrape_la_name,rgn22cd,rgn22nm,lad23cd,ltla23cd,ltla23nm,ltla23nmw,ltla23_ons,utla23nm,country,ons_population_0-25,ons_la_type
80517,320,E09000031,"317, 302, 312, 306, 307, 309, 313, 310, 209, 852","E09000026, E09000003, E09000017, E09000008, E09000009, E09000014, E09000018, E09000015, E09000023, E06000045","330, 304, 306, 307, 308, 203, 309, 209, 821, 315",Waltham Forest,,GL,London,Walthamforest.gov.uk,320,E12000007,London,E09000031,E09000031,Waltham Forest,,E09000031,Waltham Forest,England,87476,London Borough
80518,212,E09000032,"205, 314, 315, 208, 209, 302, 870, 801, 846, 305","E09000013, E09000021, E09000024, E09000022, E09000023, E09000003, E06000038, E06000023, E06000043, E09000006","302, 846, 202, 205, 309, 207, 315, 870, 318, 213",Wandsworth,,GL,London,richmondandwandsworth.gov.uk,212,E12000007,London,E09000032,E09000032,Wandsworth,,E09000032,Wandsworth,England,96914,London Borough
80575,877,E06000007,"895, 937, 860, 811, 815, 916, 334, 893, 885, 865","E06000049, E10000031, E10000028, E06000011, E06000065, E10000013, E08000029, E06000051, E10000034, E06000054","351, 895, 896, 811, 881, 891, 334, 860, 356, 937",Warrington,,NW,North West,warrington.gov.uk,877,E12000002,North West,E06000007,E06000007,Warrington,,E06000007,Warrington,England,59936,Unitary Authority
80576,937,E10000031,"916, 895, 931, 802, 855, 938, 850, 877, 865, 881","E10000013, E06000049, E10000025, E06000024, E10000018, E10000032, E10000014, E06000007, E06000054, E10000012","823, 895, 896, 881, 850, 855, 802, 860, 877, 885",Warwickshire,,WM,West Midlands,warwickshire.gov.uk,937,E12000005,West Midlands,,E10000031,Warwickshire,,E10000031,Warwickshire,England,171010,County
80577,869,E06000037,"825, 850, 931, 867, 919, 873, 823, 865, 916, 305","E06000060, E10000014, E10000025, E06000036, E10000015, E10000003, E06000056, E06000054, E10000013, E09000006","867, 825, 873, 823, 895, 850, 919, 931, 857, 936",West Berkshire,,SE,South East,westberks.gov.uk,869,E12000008,South East,E06000037,E06000037,West Berkshire,,E06000037,West Berkshire,England,46945,Unitary Authority
2637548,941,E06000062,"822, 940, 937, 866, 933, 935, 311, 855, 931, 303","E06000055, E06000061, E10000031, E06000030, E06000066, E10000029, E09000016, E10000018, E10000025, E09000004","822, 881, 886, 887, 940, 891, 860, 866, 937, 885",West Northamptonshire,,EM,East Midlands,westnorthants.gov.uk,941,E12000004,East Midlands,E06000062,E06000062,West Northamptonshire,,E06000062,West Northamptonshire,England,130330,Unitary Authority
80578,938,E10000032,"916, 881, 850, 919, 937, 865, 802, 931, 803, 878","E10000013, E10000012, E10000014, E10000015, E10000031, E06000054, E06000024, E10000025, E06000025, E10000008","800, 823, 881, 916, 850, 855, 802, 803, 865, 885",West Sussex,,SE,South East,westsussex.gov.uk,938,E12000008,South East,,E10000032,West Sussex,,E10000032,West Sussex,England,241769,County
80519,213,E09000033,"202, 206, 210, 207, 205, 208, 203, 352, 204, 309","E09000007, E09000019, E09000028, E09000020, E09000013, E09000022, E09000011, E08000003, E09000012, E09000014","302, 202, 203, 205, 206, 207, 352, 315, 870, 212",Westminster,,GL,London,westminster.gov.uk,213,E12000007,London,E09000033,E09000033,Westminster,,E09000033,Westminster,England,59615,London Borough
2733698,943,E06000064,"884, 942, 860, 893, 811, 815, 925, 933, 935, 830","E06000019, E06000063, E10000028, E06000051, E06000011, E06000065, E10000019, E06000066, E10000029, E10000007","878, 371, 341, 812, 941, 353, 871, 356, 394",Westmorland and Furness,,NW,North West,westmorlandandfurness.gov.uk,943,E12000002,North West,,E10000006,Cumbria,,E10000006,Cumbria,England,128211,County
80579,359,E08000010,"888, 925, 343, 877, 860, 332, 929, 884, 808, 893","E10000017, E10000019, E08000014, E06000007, E10000028, E08000027, E06000057, E06000019, E06000004, E06000051","370, 371, 332, 812, 807, 372, 342, 808, 357, 384",Wigan,,NW,North West,wigan.gov.uk,359,E12000002,North West,E08000010,E08000010,Wigan,,E08000010,Wigan,England,95108,Metropolitan District
80580,865,E06000054,"850, 916, 802, 938, 855, 937, 895, 881, 815, 803","E10000014, E10000013, E06000024, E10000032, E10000018, E10000031, E06000049, E10000012, E06000065, E06000025","800, 873, 878, 838, 916, 850, 802, 893, 938, 885",Wiltshire,,SW,South West,wiltshire.gov.uk,865,E12000009,South West,E06000054,E06000054,Wiltshire,,E06000054,Wiltshire,England,143913,Unitary Authority
80546,868,E06000040,"936, 825, 872, 358, 919, 869, 305, 823, 931, 867","E10000030, E06000060, E06000041, E08000009, E10000015, E06000037, E09000006, E06000056, E10000025, E06000036","867, 825, 873, 850, 919, 931, 936, 358, 869, 872",Windsor and Maidenhead,,SE,South East,achievingforchildren.org.uk,868,E12000008,South East,E06000040,E06000040,Windsor and Maidenhead,,E06000040,Windsor and Maidenhead,England,45358,Unitary Authority
80581,344,E08000015,"840, 343, 876, 808, 394, 390, 807, 888, 351, 393","E06000047, E08000014, E06000006, E06000004, E08000024, E08000037, E06000003, E10000017, E08000002, E08000023","381, 841, 840, 888, 392, 807, 343, 342, 808, 359",Wirral,,NW,North West,wirral.gov.uk,344,E12000002,North West,E08000015,E08000015,Wirral,,E08000015,Wirral,England,89994,Metropolitan District
80582,872,E06000041,"868, 936, 825, 869, 305, 358, 318, 919, 867, 823","E06000040, E10000030, E06000060, E06000037, E09000006, E08000009, E09000027, E10000015, E06000036, E06000056","867, 825, 895, 850, 919, 931, 857, 936, 869, 868",Wokingham,,SE,South East,wokingham.gov.uk,872,E12000008,South East,E06000041,E06000041,Wokingham,,E06000041,Wokingham,England,54920,Unitary Authority
80583,336,E08000031,"333, 861, 335, 810, 354, 331, 371, 831, 806, 812","E08000028, E06000021, E08000030, E06000010, E08000005, E08000026, E08000017, E06000015, E06000002, E06000012","330, 331, 831, 892, 874, 333, 373, 852, 861, 335",Wolverhampton,,WM,West Midlands,wolverhampton.gov.uk,336,E12000005,West Midlands,E08000031,E08000031,Wolverhampton,,E08000031,Wolverhampton,England,86454,Metropolitan District
80584,885,E10000034,"933, 916, 838, 937, 893, 938, 878, 830, 881, 815","E06000066, E10000013, E06000059, E10000031, E06000051, E10000032, E10000008, E10000007, E10000012, E06000065","838, 845, 881, 886, 855, 802, 803, 860, 937, 938",Worcestershire,,WM,West Midlands,worcschildrenfirst.org.uk,885,E12000005,West Midlands,,E10000034,Worcestershire,,E10000034,Worcestershire,England,165945,County
80453,816,E06000014,"916, 800, 802, 919, 937, 931, 938, 358, 850, 356","E10000013, E06000022, E06000024, E10000015, E10000031, E10000025, E10000032, E08000009, E10000014, E08000007","867, 823, 895, 896, 850, 919, 356, 877, 937, 885",York,,YH,Yorkshire and the Humber,york.gov.uk,816,E12000003,Yorkshire and the Humber,E06000014,E06000014,York,,E06000014,York,England,65602,Unitary Authority
